FSA,Walk Score,Transit Score,Bike Score
h1a,5,48,60
h1b,39,0,50
h1c,1,51,36
h1e,73,55,59
h1g,88,66,58
h1h,87,67,65
h1j,46,51,37
h1k,66,53,74
h1l,90,56,73
h1m,77,75,56
h1n,73,58,90
h1p,79,55,53
h1r,78,53,78
h1s,98,63,53
h1t,84,61,89
h1v,93,65,99
h1w,96,71,99
h1x,93,65,84
h1y,98,62,84
h1z,84,62,82
h2a,93,77,74
h2b,88,64,74
h2c,94,76,92
h2e,88,69,77
h2g,96,70,100
h2h,96,62,100
h2j,99,76,100
h2k,96,74,100
h2l,99,83,95
h2m,84,73,84
h2n,92,66,64
h2o,49,0,0
h2p,94,77,90
h2r,98,80,100
h2s,98,80,100
h2t,99,77,100
h2u,54,39,63
h2v,89,68,66
h2w,98,76,92
h2x,100,90,95
h2y,100,90,91
h2z,1,0,0
h3a,99,91,89
h3b,100,96,82
h3c,98,86,94
h3d,8,0,30
h3e,80,46,84
h3g,95,87,55
h3h,37,54,38
h3j,95,89,96
h3k,92,63,98
h3l,92,71,82
h3m,77,53,58
h3n,94,68,87
h3p,0,0,25
h3r,76,0,69
h3s,91,68,72
h3t,91,73,81
h3u,83,0,0
h3v,84,65,61
h3w,95,80,70
h3x,66,0,63
h3y,69,0,36
h3z,94,0,95
h4a,97,74,94
h4b,87,63,87
h4c,85,72,97
h4d,98,0,0
h4e,91,68,67
h4g,96,69,90
h4h,79,62,78
h4i,80,0,0
h4j,77,65,67
h4k,30,42,41
h4l,81,78,85
h4m,73,72,54
h4n,78,60,52
h4p,83,0,65
h4r,54,54,66
h4s,14,31,39
h4t,39,47,38
h4v,83,59,73
h4w,82,0,52
h4x,70,0,62
h4y,36,0,44
h4z,100,93,81
h5a,99,95,72
h5b,100,95,93
h5h,23,0,34
h7a,11,37,40
h7c,1,45,53
h7e,49,32,47
h7g,69,50,71
h7h,34,41,54
h7j,0,0,28
h7k,77,47,60
h7l,23,38,56
h7m,51,48,48
h7n,83,65,81
h7p,54,38,63
h7r,41,32,38
h7s,77,57,50
h7t,70,49,55
h7v,66,52,72
h7w,68,47,52
h7x,11,37,32
h7y,51,42,49
h8n,84,57,65
h8p,79,53,80
h8r,75,59,58
h8s,87,55,79
h8t,34,40,38
h8y,69,47,53
h8z,53,43,53
h9a,47,0,57
h9b,66,0,68
h9c,19,26,30
h9e,5,0,36
h9g,80,0,76
h9h,49,44,41
h9j,54,0,45
h9k,1,37,34
h9p,1,0,40
h9r,72,0,66
h9s,46,0,62
h9w,41,0,52
h9x,13,0,54
h9y,75,28,83
